user_id,country,transaction_velocity_score,verification_match_rate,country_risk_score,is_pep,risk_score,risk_tier,outcome,timestamp,funnel_stage_reached,tto_minutes
U00000,Brazil,64.04,55.33,38.78,False,48.12,Low,legitimate,2025-01-20,activated,6.1
U00001,USA,17.06,81.13,26.17,False,21.25,Low,legitimate,2025-04-03,activated,1.1
U00002,Nigeria,78.51,82.61,59.18,False,52.44,Medium,legitimate,2025-01-13,activated,31.2
U00003,UAE,23.6,61.8,39.42,False,34.31,Low,legitimate,2025-05-23,activated,4.5
U00004,Switzerland,17.45,88.67,2.73,False,9.72,Low,legitimate,2025-03-26,document_uploaded,
U00005,Cayman Islands,13.9,78.27,83.48,False,44.08,Low,legitimate,2025-06-05,signup_started,
U00006,Brazil,14.04,82.74,42.24,False,26.28,Low,legitimate,2025-04-29,activated,3.7
U00007,Brazil,39.29,86.14,45.56,False,34.17,Low,legitimate,2025-02-27,activated,5.0
U00008,Germany,95.18,83.84,9.87,False,37.35,Low,legitimate,2025-01-28,activated,2.6
U00009,USA,41.42,81.9,11.39,False,22.41,Low,legitimate,2025-01-29,activated,1.0
U00010,UK,27.74,95.69,19.37,False,17.36,Low,legitimate,2025-01-06,activated,4.4
U00011,Russia,56.5,93.31,80.15,False,51.01,Medium,legitimate,2025-02-24,signup_started,
U00012,India,27.7,81.49,37.2,False,28.74,Low,legitimate,2025-05-12,activated,5.7
U00013,Brazil,9.94,69.53,44.13,True,29.77,High,legitimate,2025-03-05,activated,52.4
U00014,USA,20.51,91.1,25.17,False,18.89,Low,legitimate,2025-01-27,activated,3.9
U00015,Singapore,45.62,61.09,7.88,False,28.51,Low,legitimate,2025-01-15,activated,4.8
U00016,India,15.85,80.95,35.24,False,24.57,Low,legitimate,2025-03-20,document_uploaded,
U00017,Switzerland,14.05,75.6,8.94,False,15.11,Low,legitimate,2025-02-07,activated,3.1
U00018,Brazil,19.32,84.92,100.0,False,50.32,Medium,legitimate,2025-05-13,activated,23.1
U00019,India,19.52,84.96,25.94,False,20.74,Low,legitimate,2025-03-02,activated,3.4
U00020,UAE,27.91,42.99,48.93,False,45.05,Low,legitimate,2025-01-23,activated,4.0
U00021,UK,11.24,48.4,0.0,False,18.85,Low,legitimate,2025-02-19,activated,4.8
U00022,Cayman Islands,60.77,75.28,83.96,False,59.23,Medium,legitimate,2025-03-21,activated,22.6
U00023,Nigeria,100.0,57.82,84.18,False,76.33,High,flagged_risky,2025-01-07,activated,60.3
U00024,Brazil,26.59,93.4,52.4,False,30.92,Low,legitimate,2025-01-21,activated,2.7
U00025,Germany,46.53,87.81,13.54,False,23.03,Low,legitimate,2025-06-22,activated,1.8
U00026,USA,71.22,41.15,12.96,False,44.2,Low,legitimate,2025-03-04,activated,3.8
U00027,Switzerland,40.31,78.75,8.28,False,21.78,Low,legitimate,2025-05-15,activated,5.2
U00028,Germany,96.27,43.53,9.73,False,49.71,Low,flagged_risky,2025-06-14,activated,4.5
U00029,UAE,88.05,95.62,34.93,False,41.7,Low,flagged_risky,2025-01-21,activated,4.3
U00030,UAE,63.45,64.57,39.39,False,45.42,Low,legitimate,2025-05-04,activated,4.0
U00031,Cayman Islands,78.18,85.59,83.79,False,61.29,Medium,legitimate,2025-05-30,details_entered,
U00032,UK,43.31,92.59,8.1,False,18.45,Low,legitimate,2025-01-05,activated,2.8
U00033,UK,8.15,78.99,7.74,False,11.85,Low,legitimate,2025-02-25,verification_complete,
U00034,USA,15.02,88.28,5.76,False,10.33,Low,legitimate,2025-01-25,activated,5.0
U00035,Germany,51.75,97.48,15.52,False,22.49,Low,legitimate,2025-01-06,document_uploaded,
U00036,Germany,38.66,91.45,16.91,False,20.93,Low,legitimate,2025-02-22,activated,4.5
U00037,USA,23.48,90.55,20.08,False,17.91,Low,legitimate,2025-02-02,activated,1.9
U00038,Singapore,50.46,88.37,18.69,False,26.1,Low,legitimate,2025-06-11,activated,4.2
U00039,UAE,37.73,69.2,42.79,False,37.68,Low,legitimate,2025-02-12,activated,3.8
U00040,USA,77.85,91.64,21.53,True,34.47,High,flagged_risky,2025-05-15,activated,75.8
U00041,Brazil,96.85,91.24,50.73,False,51.98,Medium,legitimate,2025-01-10,activated,16.9
U00042,UAE,30.02,87.88,41.18,False,29.11,Low,legitimate,2025-04-22,activated,5.0
U00043,UK,9.14,71.75,10.22,False,15.31,Low,legitimate,2025-05-06,activated,3.5
U00044,Brazil,30.06,73.47,67.93,False,44.15,Low,legitimate,2025-01-28,activated,1.3
U00045,Brazil,21.51,84.32,43.93,False,28.73,Low,legitimate,2025-03-19,activated,3.7
U00046,UK,35.12,63.64,9.01,False,25.05,Low,legitimate,2025-06-17,activated,4.2
U00047,Singapore,31.22,57.02,13.91,False,27.82,Low,legitimate,2025-04-21,activated,4.2
U00048,UAE,21.96,93.12,44.27,False,26.36,Low,legitimate,2025-05-26,activated,4.2
U00049,Germany,43.71,86.99,0.0,False,17.02,Low,legitimate,2025-03-18,activated,3.4
U00050,Germany,24.95,0.0,22.1,False,46.33,Low,legitimate,2025-02-13,activated,3.6
U00051,Switzerland,54.38,92.77,7.15,False,21.34,Low,legitimate,2025-03-26,activated,2.6
U00052,Brazil,31.24,75.09,38.0,False,32.04,Low,legitimate,2025-03-14,activated,1.6
U00053,UAE,67.13,88.06,52.7,False,44.8,Low,legitimate,2025-06-26,activated,3.9
U00054,UAE,20.39,70.68,47.63,False,33.97,Low,legitimate,2025-03-19,selfie_uploaded,
U00055,Brazil,44.88,81.0,36.62,False,33.81,Low,legitimate,2025-04-23,activated,5.3
